Date,Day Name,Start of Week,Start of Month,Start of Quarter,Month Name,Month,Year,Start of Year,Month Number(DAX),Month Short,today,Day of week,Weekend,MM/YY
15-07-2020,Wednesday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,3,weekday,July 2020
16-07-2020,Thursday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,4,weekday,July 2020
17-07-2020,Friday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,5,weekday,July 2020
18-07-2020,Saturday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,6,weekend,July 2020
19-07-2020,Sunday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,7,weekend,July 2020
20-07-2020,Monday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,1,weekday,July 2020
21-07-2020,Tuesday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,2,weekday,July 2020
22-07-2020,Wednesday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,3,weekday,July 2020
23-07-2020,Thursday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,4,weekday,July 2020
24-07-2020,Friday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,5,weekday,July 2020
25-07-2020,Saturday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,6,weekend,July 2020
26-07-2020,Sunday,20-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,7,weekend,July 2020
27-07-2020,Monday,27-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,1,weekday,July 2020
28-07-2020,Tuesday,27-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,2,weekday,July 2020
29-07-2020,Wednesday,27-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,3,weekday,July 2020
30-07-2020,Thursday,27-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,4,weekday,July 2020
31-07-2020,Friday,27-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,5,weekday,July 2020
01-08-2020,Saturday,27-07-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,6,weekend,August 2020
02-08-2020,Sunday,27-07-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,7,weekend,August 2020
03-08-2020,Monday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,1,weekday,August 2020
04-08-2020,Tuesday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,2,weekday,August 2020
05-08-2020,Wednesday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,3,weekday,August 2020
06-08-2020,Thursday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,4,weekday,August 2020
07-08-2020,Friday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,5,weekday,August 2020
08-08-2020,Saturday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,6,weekend,August 2020
09-08-2020,Sunday,03-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,7,weekend,August 2020
10-08-2020,Monday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,1,weekday,August 2020
11-08-2020,Tuesday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,2,weekday,August 2020
12-08-2020,Wednesday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,3,weekday,August 2020
13-08-2020,Thursday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,4,weekday,August 2020
14-08-2020,Friday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,5,weekday,August 2020
15-08-2020,Saturday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,6,weekend,August 2020
16-08-2020,Sunday,10-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,7,weekend,August 2020
17-08-2020,Monday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,1,weekday,August 2020
18-08-2020,Tuesday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,2,weekday,August 2020
19-08-2020,Wednesday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,3,weekday,August 2020
20-08-2020,Thursday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,4,weekday,August 2020
21-08-2020,Friday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,5,weekday,August 2020
22-08-2020,Saturday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,6,weekend,August 2020
23-08-2020,Sunday,17-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,7,weekend,August 2020
24-08-2020,Monday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,1,weekday,August 2020
25-08-2020,Tuesday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,2,weekday,August 2020
26-08-2020,Wednesday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,3,weekday,August 2020
27-08-2020,Thursday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,4,weekday,August 2020
28-08-2020,Friday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,5,weekday,August 2020
29-08-2020,Saturday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,6,weekend,August 2020
30-08-2020,Sunday,24-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,7,weekend,August 2020
31-08-2020,Monday,31-08-2020,01-08-2020,01-07-2020,August,8,2020,01-01-2020,pata nhi,August,13-03-2026,1,weekday,August 2020
01-09-2020,Tuesday,31-08-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,2,weekday,September 2020
02-09-2020,Wednesday,31-08-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,3,weekday,September 2020
03-09-2020,Thursday,31-08-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,4,weekday,September 2020
04-09-2020,Friday,31-08-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,5,weekday,September 2020
05-09-2020,Saturday,31-08-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,6,weekend,September 2020
06-09-2020,Sunday,31-08-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,7,weekend,September 2020
07-09-2020,Monday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,1,weekday,September 2020
08-09-2020,Tuesday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,2,weekday,September 2020
09-09-2020,Wednesday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,3,weekday,September 2020
10-09-2020,Thursday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,4,weekday,September 2020
11-09-2020,Friday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,5,weekday,September 2020
12-09-2020,Saturday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,6,weekend,September 2020
13-09-2020,Sunday,07-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,7,weekend,September 2020
14-09-2020,Monday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,1,weekday,September 2020
15-09-2020,Tuesday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,2,weekday,September 2020
16-09-2020,Wednesday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,3,weekday,September 2020
17-09-2020,Thursday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,4,weekday,September 2020
18-09-2020,Friday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,5,weekday,September 2020
19-09-2020,Saturday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,6,weekend,September 2020
20-09-2020,Sunday,14-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,7,weekend,September 2020
21-09-2020,Monday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,1,weekday,September 2020
22-09-2020,Tuesday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,2,weekday,September 2020
23-09-2020,Wednesday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,3,weekday,September 2020
24-09-2020,Thursday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,4,weekday,September 2020
25-09-2020,Friday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,5,weekday,September 2020
26-09-2020,Saturday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,6,weekend,September 2020
27-09-2020,Sunday,21-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,7,weekend,September 2020
28-09-2020,Monday,28-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,1,weekday,September 2020
29-09-2020,Tuesday,28-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,2,weekday,September 2020
30-09-2020,Wednesday,28-09-2020,01-09-2020,01-07-2020,September,9,2020,01-01-2020,pata nhi,SeptPmber,13-03-2026,3,weekday,September 2020
01-01-2020,Wednesday,30-12-2019,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,3,weekday,January 2020
02-01-2020,Thursday,30-12-2019,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,4,weekday,January 2020
03-01-2020,Friday,30-12-2019,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,5,weekday,January 2020
04-01-2020,Saturday,30-12-2019,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,6,weekend,January 2020
05-01-2020,Sunday,30-12-2019,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,7,weekend,January 2020
06-01-2020,Monday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,1,weekday,January 2020
07-01-2020,Tuesday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,2,weekday,January 2020
08-01-2020,Wednesday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,3,weekday,January 2020
09-01-2020,Thursday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,4,weekday,January 2020
10-01-2020,Friday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,5,weekday,January 2020
11-01-2020,Saturday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,6,weekend,January 2020
12-01-2020,Sunday,06-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,7,weekend,January 2020
13-01-2020,Monday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,1,weekday,January 2020
14-01-2020,Tuesday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,2,weekday,January 2020
15-01-2020,Wednesday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,3,weekday,January 2020
16-01-2020,Thursday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,4,weekday,January 2020
17-01-2020,Friday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,5,weekday,January 2020
18-01-2020,Saturday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,6,weekend,January 2020
19-01-2020,Sunday,13-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,7,weekend,January 2020
20-01-2020,Monday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,1,weekday,January 2020
21-01-2020,Tuesday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,2,weekday,January 2020
22-01-2020,Wednesday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,3,weekday,January 2020
23-01-2020,Thursday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,4,weekday,January 2020
24-01-2020,Friday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,5,weekday,January 2020
25-01-2020,Saturday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,6,weekend,January 2020
26-01-2020,Sunday,20-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,7,weekend,January 2020
27-01-2020,Monday,27-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,1,weekday,January 2020
28-01-2020,Tuesday,27-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,2,weekday,January 2020
29-01-2020,Wednesday,27-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,3,weekday,January 2020
30-01-2020,Thursday,27-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,4,weekday,January 2020
31-01-2020,Friday,27-01-2020,01-01-2020,01-01-2020,January,1,2020,01-01-2020,1,January,13-03-2026,5,weekday,January 2020
01-02-2020,Saturday,27-01-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,6,weekend,February 2020
02-02-2020,Sunday,27-01-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,7,weekend,February 2020
03-02-2020,Monday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,1,weekday,February 2020
04-02-2020,Tuesday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,2,weekday,February 2020
05-02-2020,Wednesday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,3,weekday,February 2020
06-02-2020,Thursday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,4,weekday,February 2020
07-02-2020,Friday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,5,weekday,February 2020
08-02-2020,Saturday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,6,weekend,February 2020
09-02-2020,Sunday,03-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,7,weekend,February 2020
10-02-2020,Monday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,1,weekday,February 2020
11-02-2020,Tuesday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,2,weekday,February 2020
12-02-2020,Wednesday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,3,weekday,February 2020
13-02-2020,Thursday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,4,weekday,February 2020
14-02-2020,Friday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,5,weekday,February 2020
15-02-2020,Saturday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,6,weekend,February 2020
16-02-2020,Sunday,10-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,7,weekend,February 2020
17-02-2020,Monday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,1,weekday,February 2020
18-02-2020,Tuesday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,2,weekday,February 2020
19-02-2020,Wednesday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,3,weekday,February 2020
20-02-2020,Thursday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,4,weekday,February 2020
21-02-2020,Friday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,5,weekday,February 2020
22-02-2020,Saturday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,6,weekend,February 2020
23-02-2020,Sunday,17-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,7,weekend,February 2020
24-02-2020,Monday,24-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,1,weekday,February 2020
25-02-2020,Tuesday,24-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,2,weekday,February 2020
26-02-2020,Wednesday,24-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,3,weekday,February 2020
27-02-2020,Thursday,24-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,4,weekday,February 2020
28-02-2020,Friday,24-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,5,weekday,February 2020
29-02-2020,Saturday,24-02-2020,01-02-2020,01-01-2020,February,2,2020,01-01-2020,2,February,13-03-2026,6,weekend,February 2020
01-03-2020,Sunday,24-02-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,7,weekend,March 2020
02-03-2020,Monday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,1,weekday,March 2020
03-03-2020,Tuesday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,2,weekday,March 2020
04-03-2020,Wednesday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,3,weekday,March 2020
05-03-2020,Thursday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,4,weekday,March 2020
06-03-2020,Friday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,5,weekday,March 2020
07-03-2020,Saturday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,6,weekend,March 2020
08-03-2020,Sunday,02-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,7,weekend,March 2020
09-03-2020,Monday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,1,weekday,March 2020
10-03-2020,Tuesday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,2,weekday,March 2020
11-03-2020,Wednesday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,3,weekday,March 2020
12-03-2020,Thursday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,4,weekday,March 2020
13-03-2020,Friday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,5,weekday,March 2020
14-03-2020,Saturday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,6,weekend,March 2020
15-03-2020,Sunday,09-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,7,weekend,March 2020
16-03-2020,Monday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,1,weekday,March 2020
17-03-2020,Tuesday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,2,weekday,March 2020
18-03-2020,Wednesday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,3,weekday,March 2020
19-03-2020,Thursday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,4,weekday,March 2020
20-03-2020,Friday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,5,weekday,March 2020
21-03-2020,Saturday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,6,weekend,March 2020
22-03-2020,Sunday,16-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,7,weekend,March 2020
23-03-2020,Monday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,1,weekday,March 2020
24-03-2020,Tuesday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,2,weekday,March 2020
25-03-2020,Wednesday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,3,weekday,March 2020
26-03-2020,Thursday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,4,weekday,March 2020
27-03-2020,Friday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,5,weekday,March 2020
28-03-2020,Saturday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,6,weekend,March 2020
29-03-2020,Sunday,23-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,7,weekend,March 2020
30-03-2020,Monday,30-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,1,weekday,March 2020
31-03-2020,Tuesday,30-03-2020,01-03-2020,01-01-2020,March,3,2020,01-01-2020,3,March,13-03-2026,2,weekday,March 2020
01-04-2020,Wednesday,30-03-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,3,weekday,April 2020
02-04-2020,Thursday,30-03-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,4,weekday,April 2020
03-04-2020,Friday,30-03-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,5,weekday,April 2020
04-04-2020,Saturday,30-03-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,6,weekend,April 2020
05-04-2020,Sunday,30-03-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,7,weekend,April 2020
06-04-2020,Monday,06-04-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,1,weekday,April 2020
07-04-2020,Tuesday,06-04-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,2,weekday,April 2020
08-04-2020,Wednesday,06-04-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,3,weekday,April 2020
09-04-2020,Thursday,06-04-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,4,weekday,April 2020
10-04-2020,Friday,06-04-2020,01-04-2020,01-04-2020,April,4,2020,01-01-2020,4,April,13-03-2026,5,weekday,April 2020
